ticker,name,asset_class,weight,price,shares,market_value,notional_value,sector,sedol,isin,exchange
MA,MASTERCARD INC CLASS A,Equity,0.83,276.4,290908,80406971.2,80406971.2,Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.8,137.5,565804,77798050,77798050,Communication,2270726,US2546871060,New York Stock Exchange Inc.
INTC,INTEL CORP,Equity,0.79,53.01,1452037,76972481.37,76972481.37,Information Technology,2463247,US4581401001,NASDAQ
CVX,CHEVRON CORP,Equity,0.77,121.42,617815,75015097.3,75015097.3,Energy,2838555,US1667641005,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.73,49.93,1427749,71287507.57,71287507.57,Information Technology,2198163,US17275R1023,NASDAQ
UNH,UNITEDHEALTH GROUP INC,Equity,0.73,230.1,306304,70480550.4,70480550.4,Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.72,83.31,834756,69543522.36,69543522.36,Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
CMCSA,COMCAST CORP CLASS A,Equity,0.71,46.97,1459594,68557130.18,68557130.18,Communication,2044545,US20030N1019,NASDAQ
KO,COCA-COLA,Equity,0.7,55.11,1242331,68464861.41,68464861.41,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,0.69,37.28,1802988,67215392.64,67215392.64,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
BA,BOEING,Equity,0.66,375.63,171521,64428433.23,64428433.23,Industrials,2108601,US0970231058,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,0.66,48.65,1312395,63848016.75,63848016.75,Financials,2649100,US9497461015,New York Stock Exchange Inc.
PEP,PEPSICO INC,Equity,0.64,137.29,453925,62319363.25,62319363.25,Consumer Staples,2681511,US7134481081,NASDAQ
WMT,WALMART INC,Equity,0.55,116.92,455108,53211227.36,53211227.36,Consumer Staples,2936921,US9311421039,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.54,212.15,248672,52755764.8,52755764.8,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,0.53,69.3,749145,51915748.5,51915748.5,Financials,2297907,US1729674242,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,0.49,110.38,434964,48011326.32,48011326.32,Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.49,85.21,558109,47556467.89,47556467.89,Health Care,2002305,US0028241000,New York Stock Exchange Inc.
ADBE,ADOBE INC,Equity,0.45,278.02,157829,43879618.58,43879618.58,Information Technology,2008154,US00724F1012,NASDAQ
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.43,143.62,287603,41305542.86,41305542.86,Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Equity,0.43,289.89,142462,41298309.18,41298309.18,Consumer Staples,2701271,US22160K1051,NASDAQ
CRM,SALESFORCE.COM INC,Equity,0.42,154.75,265708,41118313,41118313,Information Technology,2310525,US79466L3024,New York Stock Exchange Inc.
PYPL,PAYPAL HOLDINGS INC,Equity,0.42,107.1,380947,40799423.7,40799423.7,Information Technology,BYW36M8,US70450Y1038,NASDAQ
ACN,ACCENTURE PLC CLASS A,Equity,0.42,195.52,206622,40398733.44,40398733.44,Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.41,53.89,744720,40132960.8,40132960.8,Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Equity,0.41,168.63,235844,39770373.72,39770373.72,Industrials,2020459,US4385161066,New York Stock Exchange Inc.
TXN,TEXAS INSTRUMENT INC,Equity,0.41,130.22,304067,39595604.74,39595604.74,Information Technology,2885409,US8825081040,NASDAQ
NFLX,NETFLIX INC,Equity,0.41,288.86,136560,39446721.6,39446721.6,Communication,2857817,US64110L1061,NASDAQ
UNP,UNION PACIFIC CORP,Equity,0.4,167.71,229611,38508060.81,38508060.81,Industrials,2914734,US9078181081,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.39,194,197769,38367186,38367186,Health Care,2023607,US0311621009,NASDAQ
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.39,294.97,129320,38145520.4,38145520.4,Health Care,2886907,US8835561023,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.39,74.9,503085,37681066.5,37681066.5,Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
AVGO,BROADCOM INC,Equity,0.39,300.58,125311,37665980.38,37665980.38,Information Technology,BDZ78H9,US11135F1012,NASDAQ
SBUX,STARBUCKS CORP,Equity,0.37,92.06,392696,36151593.76,36151593.76,Consumer Discretionary,2842255,US8552441094,NASDAQ
UTX,UNITED TECHNOLOGIES CORP,Equity,0.37,137.46,262822,36127512.12,36127512.12,Industrials,2915500,US9130171096,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.36,87.67,399163,34994620.21,34994620.21,Consumer Discretionary,2640147,US6541061031,New York Stock Exchange Inc.
NVDA,NVIDIA CORP,Equity,0.36,184.27,188847,34798836.69,34798836.69,Information Technology,2379504,US67066G1040,NASDAQ
NEE,NEXTERA ENERGY INC,Equity,0.35,220.74,154861,34184017.14,34184017.14,Utilities,2328915,US65339F1012,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.35,70.83,478645,33902425.35,33902425.35,Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
LIN,LINDE PLC,Equity,0.35,191.57,175605,33640649.85,33640649.85,Materials,BZ12WP8,IE00BZ12WP82,New York Stock Exchange Inc.
AMT,AMERICAN TOWER REIT CORP,Equity,0.32,218.85,142276,31137102.6,31137102.6,Real Estate,B7FBFL2,US03027X1000,New York Stock Exchange Inc.
QCOM,QUALCOMM INC,Equity,0.32,79.08,393694,31133321.52,31133321.52,Information Technology,2714923,US7475251036,NASDAQ
LLY,ELI LILLY,Equity,0.32,111.47,278430,31036592.1,31036592.1,Health Care,2516152,US5324571083,New York Stock Exchange Inc.
MMM,3M,Equity,0.32,170.58,181525,30964534.5,30964534.5,Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,0.32,386.63,80054,30951278.02,30951278.02,Industrials,2522096,US5398301094,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Equity,0.3,113.88,258118,29394477.84,29394477.84,Consumer Discretionary,2536763,US5486611073,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,0.3,141.74,206065,29207653.1,29207653.1,Health Care,2250870,US2358511028,New York Stock Exchange Inc.
BKNG,BOOKING HOLDINGS INC,Equity,0.29,2041.41,13991,28561367.31,28561367.31,Consumer Discretionary,BDRXDB4,US09857L1089,NASDAQ
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.29,122.56,226146,27716453.76,27716453.76,Industrials,2517382,US9113121068,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.28,66.36,412802,27393540.72,27393540.72,Health Care,2369174,US3755581036,NASDAQ
MO,ALTRIA GROUP INC,Equity,0.28,44.46,605667,26927954.82,26927954.82,Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.28,63.9,420577,26874870.3,26874870.3,Health Care,2577609,US1266501006,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,0.27,119.02,221488,26361501.76,26361501.76,Financials,2026082,US0258161092,New York Stock Exchange Inc.
FIS,FIDELITY NATIONAL INFORMATION SERV,Equity,0.27,133.44,197488,26352798.72,26352798.72,Information Technology,2769796,US31620M1062,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.27,49.61,530981,26341967.41,26341967.41,Health Care,2126335,US1101221083,New York Stock Exchange Inc.
USB,US BANCORP,Equity,0.27,55.73,468114,26087993.22,26087993.22,Financials,2736035,US9029733048,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,0.27,9.26,2801503,25941917.78,25941917.78,Industrials,2380498,US3696041033,New York Stock Exchange Inc.
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.26,54.81,459777,25200377.37,25200377.37,Consumer Staples,B8CKK03,US6092071058,NASDAQ
SYK,STRYKER CORP,Equity,0.25,220.04,111108,24448204.32,24448204.32,Health Care,2853688,US8636671013,New York Stock Exchange Inc.
CAT,CATERPILLAR INC,Equity,0.24,131.75,179668,23671259,23671259,Industrials,2180201,US1491231015,New York Stock Exchange Inc.
CB,CHUBB LTD,Equity,0.24,160.1,147477,23611067.7,23611067.7,Financials,B3BQMF6,CH0044328745,New York Stock Exchange Inc.
CME,CME GROUP INC CLASS A,Equity,0.24,205.38,114738,23564890.44,23564890.44,Financials,2965839,US12572Q1058,NASDAQ
GS,GOLDMAN SACHS GROUP INC,Equity,0.24,218.74,106631,23324464.94,23324464.94,Financials,2407966,US38141G1040,New York Stock Exchange Inc.
BDX,BECTON DICKINSON,Equity,0.23,262.15,86761,22744396.15,22744396.15,Health Care,2087807,US0758871091,New York Stock Exchange Inc.
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.23,160.41,140747,22577226.27,22577226.27,Information Technology,2065308,US0530151036,NASDAQ
CELG,CELGENE CORP,Equity,0.23,98.63,227744,22462390.72,22462390.72,Health Care,2182348,US1510201049,NASDAQ
DUK,DUKE ENERGY CORP,Equity,0.23,94.96,236003,22410844.88,22410844.88,Utilities,B7VD3F2,US26441C2044,New York Stock Exchange Inc.
TJX,TJX INC,Equity,0.23,56.75,393434,22327379.5,22327379.5,Consumer Discretionary,2989301,US8725401090,New York Stock Exchange Inc.
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,0.23,425,51733,21986525,21986525,Communication,BZ6VT82,US16119P1084,NASDAQ
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.22,1,21829000,21829000.01,21829000.01,Cash and/or Derivatives,-,US0669224778,-
INTU,INTUIT INC,Equity,0.22,268.25,80643,21632484.75,21632484.75,Information Technology,2459020,US4612021034,NASDAQ
ANTM,ANTHEM INC,Equity,0.21,248.16,83352,20684632.32,20684632.32,Health Care,BSPHGL4,US0367521038,New York Stock Exchange Inc.
COP,CONOCOPHILLIPS,Equity,0.21,56.35,366814,20669968.9,20669968.9,Energy,2685717,US20825C1045,New York Stock Exchange Inc.
D,DOMINION ENERGY INC,Equity,0.21,78.54,259708,20397466.32,20397466.32,Utilities,2542049,US25746U1097,New York Stock Exchange Inc.
SO,SOUTHERN,Equity,0.21,59.99,337255,20231927.45,20231927.45,Utilities,2829601,US8425871071,New York Stock Exchange Inc.
SPGI,S&P GLOBAL INC,Equity,0.21,251.88,79722,20080377.36,20080377.36,Financials,BYV2325,US78409V1044,New York Stock Exchange Inc.
PNC,PNC FINANCIAL SERVICES GROUP INC,Equity,0.21,137.17,145463,19953159.71,19953159.71,Financials,2692665,US6934751057,New York Stock Exchange Inc.
CL,COLGATE-PALMOLIVE,Equity,0.2,72.29,272456,19695844.24,19695844.24,Consumer Staples,2209106,US1941621039,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,0.2,523.12,37149,19433384.88,19433384.88,Health Care,2871301,US46120E6023,NASDAQ
CI,CIGNA CORP,Equity,0.2,158.98,120678,19185388.44,19185388.44,Health Care,BHJ0775,US1255231003,New York Stock Exchange Inc.
BSX,BOSTON SCIENTIFIC CORP,Equity,0.2,42.24,450096,19012055.04,19012055.04,Health Care,2113434,US1011371077,New York Stock Exchange Inc.
FISV,FISERV INC,Equity,0.2,103.89,182785,18989533.65,18989533.65,Information Technology,2342034,US3377381088,NASDAQ
ZTS,ZOETIS INC CLASS A,Equity,0.19,121.69,155216,18888235.04,18888235.04,Health Care,B95WG16,US98978V1035,New York Stock Exchange Inc.
NOC,NORTHROP GRUMMAN CORP,Equity,0.19,365.22,51183,18693055.26,18693055.26,Industrials,2648806,US6668071029,New York Stock Exchange Inc.
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Equity,0.19,138.81,134417,18658423.77,18658423.77,Real Estate,BTGQCX1,US22822V1017,New York Stock Exchange Inc.
MU,MICRON TECHNOLOGY INC,Equity,0.19,50.44,358965,18106194.6,18106194.6,Information Technology,2588184,US5951121038,NASDAQ
RTN,RAYTHEON,Equity,0.18,197.45,90739,17916415.55,17916415.55,Industrials,2758051,US7551115071,New York Stock Exchange Inc.
CSX,CSX CORP,Equity,0.18,71.55,250237,17904457.35,17904457.35,Industrials,2160753,US1264081035,NASDAQ
AGN,ALLERGAN,Equity,0.18,166.35,106373,17695148.55,17695148.55,Health Care,BY9D546,IE00BY9D5467,New York Stock Exchange Inc.
TGT,TARGET CORP,Equity,0.18,108.94,161663,17611567.22,17611567.22,Consumer Discretionary,2259101,US87612E1064,New York Stock Exchange Inc.
MS,MORGAN STANLEY,Equity,0.18,44.32,392786,17408275.52,17408275.52,Financials,2262314,US6174464486,New York Stock Exchange Inc.
DD,DUPONT DE NEMOURS INC,Equity,0.18,71.29,243288,17344001.52,17344001.52,Materials,BK0VN47,US26614N1028,New York Stock Exchange Inc.
PLD,PROLOGIS REIT INC,Equity,0.18,84.04,202910,17052556.4,17052556.4,Real Estate,B44WZD7,US74340W1036,New York Stock Exchange Inc.
DE,DEERE,Equity,0.17,163.26,103240,16854962.4,16854962.4,Industrials,2261203,US2441991054,New York Stock Exchange Inc.
ITW,ILLINOIS TOOL INC,Equity,0.17,159.85,105291,16830766.35,16830766.35,Industrials,2457552,US4523081093,New York Stock Exchange Inc.
SCHW,CHARLES SCHWAB CORP,Equity,0.17,43.07,386422,16643195.54,16643195.54,Financials,2779397,US8085131055,New York Stock Exchange Inc.
BLK,BLACKROCK INC,Equity,0.17,434.75,38208,16610928,16610928,Financials,2494504,US09247X1019,New York Stock Exchange Inc.
SLB,SCHLUMBERGER NV,Equity,0.17,36.9,447971,16530129.9,16530129.9,Energy,2779201,AN8068571086,New York Stock Exchange Inc.
MMC,MARSH & MCLENNAN INC,Equity,0.17,99.68,164260,16373436.8,16373436.8,Financials,2567741,US5717481023,New York Stock Exchange Inc.
ICE,INTERCONTINENTAL EXCHANGE INC,Equity,0.17,90.3,180419,16291835.7,16291835.7,Financials,BFSSDS9,US45866F1049,New York Stock Exchange Inc.
ECL,ECOLAB INC,Equity,0.17,197.77,81786,16174817.22,16174817.22,Materials,2304227,US2788651006,New York Stock Exchange Inc.
AMAT,APPLIED MATERIAL INC,Equity,0.16,51.25,307749,15772136.25,15772136.25,Information Technology,2046552,US0382221051,NASDAQ
GM,GENERAL MOTORS,Equity,0.16,39.07,402838,15738880.66,15738880.66,Consumer Discretionary,B665KZ5,US37045V1008,New York Stock Exchange Inc.
APD,AIR PRODUCTS AND CHEMICALS INC,Equity,0.16,220.67,71164,15703759.88,15703759.88,Materials,2011602,US0091581068,New York Stock Exchange Inc.
GD,GENERAL DYNAMICS CORP,Equity,0.16,189.41,82735,15670836.35,15670836.35,Industrials,2365161,US3695501086,New York Stock Exchange Inc.
WM,WASTE MANAGEMENT INC,Equity,0.16,113.07,137340,15529033.8,15529033.8,Industrials,2937667,US94106L1098,New York Stock Exchange Inc.
NSC,NORFOLK SOUTHERN CORP,Equity,0.16,178.56,86347,15418120.32,15418120.32,Industrials,2641894,US6558441084,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.16,155.27,99289,15416603.03,15416603.03,Real Estate,2812452,US8288061091,New York Stock Exchange Inc.
AIG,AMERICAN INTERNATIONAL GROUP INC,Equity,0.16,56.76,270386,15347109.36,15347109.36,Financials,2027342,US0268747849,New York Stock Exchange Inc.
NOW,SERVICENOW INC,Equity,0.16,256.81,59563,15296374.03,15296374.03,Information Technology,B80NXX8,US81762P1021,New York Stock Exchange Inc.
EXC,EXELON CORP,Equity,0.16,47.88,314810,15073102.8,15073102.8,Utilities,2670519,US30161N1019,New York Stock Exchange Inc.
PSX,PHILLIPS,Equity,0.15,102.19,147291,15051667.29,15051667.29,Energy,B78C4Y8,US7185461040,New York Stock Exchange Inc.
LHX,L3HARRIS TECHNOLOGIES INC,Equity,0.15,209.43,71706,15017387.58,15017387.58,Industrials,BK9DTN5,US5024311095,New York Stock Exchange Inc.
EOG,EOG RESOURCES INC,Equity,0.15,79.68,188457,15016253.76,15016253.76,Energy,2318024,US26875P1012,New York Stock Exchange Inc.
EW,EDWARDS LIFESCIENCES CORP,Equity,0.15,220.45,67374,14852598.3,14852598.3,Health Care,2567116,US28176E1082,New York Stock Exchange Inc.
KMB,KIMBERLY CLARK CORP,Equity,0.15,133.58,110764,14795855.12,14795855.12,Consumer Staples,2491839,US4943681035,New York Stock Exchange Inc.
AEP,AMERICAN ELECTRIC POWER INC,Equity,0.15,92.02,160406,14760560.12,14760560.12,Utilities,2026242,US0255371017,New York Stock Exchange Inc.
AON,AON PLC CLASS A,Equity,0.15,189.76,77428,14692737.28,14692737.28,Financials,B5BT0K0,GB00B5BT0K07,New York Stock Exchange Inc.
EQIX,EQUINIX REIT INC,Equity,0.15,538.88,27201,14658074.88,14658074.88,Real Estate,BVLZX12,US29444U7000,NASDAQ
BIIB,BIOGEN INC,Equity,0.15,232.31,62826,14595108.06,14595108.06,Health Care,2455965,US09062X1037,NASDAQ
PGR,PROGRESSIVE CORP,Equity,0.15,76.98,189236,14567387.28,14567387.28,Financials,2705024,US7433151039,New York Stock Exchange Inc.
SHW,SHERWIN WILLIAMS,Equity,0.15,538.95,26877,14485359.15,14485359.15,Materials,2804211,US8243481061,New York Stock Exchange Inc.
VRTX,VERTEX PHARMACEUTICALS INC,Equity,0.15,172.45,83210,14349564.5,14349564.5,Health Care,2931034,US92532F1003,NASDAQ
ILMN,ILLUMINA INC,Equity,0.15,297.52,47395,14100960.4,14100960.4,Health Care,2613990,US4523271090,NASDAQ
COF,CAPITAL ONE FINANCIAL CORP,Equity,0.14,92.91,151505,14076329.55,14076329.55,Financials,2654461,US14040H1059,New York Stock Exchange Inc.
WBA,WALGREEN BOOTS ALLIANCE INC,Equity,0.14,55.56,250833,13936281.48,13936281.48,Consumer Staples,BTN1Y44,US9314271084,NASDAQ
ADI,ANALOG DEVICES INC,Equity,0.14,116.21,118959,13824225.39,13824225.39,Information Technology,2032067,US0326541051,NASDAQ
BAX,BAXTER INTERNATIONAL INC,Equity,0.14,87.82,156652,13757178.64,13757178.64,Health Care,2085102,US0718131099,New York Stock Exchange Inc.
EL,ESTEE LAUDER INC CLASS A,Equity,0.14,197.22,69513,13709353.86,13709353.86,Consumer Staples,2320524,US5184391044,New York Stock Exchange Inc.
FDX,FEDEX CORP,Equity,0.14,173.51,78398,13602836.98,13602836.98,Industrials,2142784,US31428X1063,New York Stock Exchange Inc.
ATVI,ACTIVISION BLIZZARD INC,Equity,0.14,55.45,245090,13590240.5,13590240.5,Communication,2575818,US00507V1098,NASDAQ
DG,DOLLAR GENERAL CORP,Equity,0.14,157.1,84287,13241487.7,13241487.7,Consumer Discretionary,B5B1S13,US2566771059,New York Stock Exchange Inc.
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.14,45.4,289044,13122597.6,13122597.6,Energy,2655408,US6745991058,New York Stock Exchange Inc.
BBT,BB AND T CORP,Equity,0.13,52.79,247288,13054333.52,13054333.52,Financials,2830904,US0549371070,New York Stock Exchange Inc.
KMI,KINDER MORGAN INC,Equity,0.13,20.42,633521,12936498.82,12936498.82,Energy,B3NQ4P8,US49456B1017,New York Stock Exchange Inc.
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Equity,0.13,44.3,291903,12931302.9,12931302.9,Industrials,BY7QL61,IE00BY7QL619,New York Stock Exchange Inc.
BK,BANK OF NEW YORK MELLON CORP,Equity,0.13,46.31,276980,12826943.8,12826943.8,Financials,B1Z77F6,US0640581007,New York Stock Exchange Inc.
EMR,EMERSON ELECTRIC,Equity,0.13,64.71,197727,12794914.17,12794914.17,Industrials,2313405,US2910111044,New York Stock Exchange Inc.
ROST,ROSS STORES INC,Equity,0.13,109.36,116866,12780465.76,12780465.76,Consumer Discretionary,2746711,US7782961038,NASDAQ
SRE,SEMPRA ENERGY,Equity,0.13,143.66,88767,12752267.22,12752267.22,Utilities,2138158,US8168511090,New York Stock Exchange Inc.
TRV,TRAVELERS COMPANIES INC,Equity,0.13,148.3,85026,12609355.8,12609355.8,Financials,2769503,US89417E1091,New York Stock Exchange Inc.
MET,METLIFE INC,Equity,0.13,47.87,261339,12510297.93,12510297.93,Financials,2573209,US59156R1086,New York Stock Exchange Inc.
AFL,AFLAC INC,Equity,0.13,51.47,239749,12339881.03,12339881.03,Financials,2026361,US0010551028,New York Stock Exchange Inc.
SYY,SYSCO CORP,Equity,0.12,77.72,155012,12047532.64,12047532.64,Consumer Staples,2868165,US8718291078,New York Stock Exchange Inc.
PSA,PUBLIC STORAGE REIT,Equity,0.12,249.58,47982,11975347.56,11975347.56,Real Estate,2852533,US74460D1090,New York Stock Exchange Inc.
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Equity,0.12,132.51,90190,11951076.9,11951076.9,Consumer Discretionary,2210614,US5719032022,NASDAQ
ROP,ROPER TECHNOLOGIES INC,Equity,0.12,358.48,33283,11931289.84,11931289.84,Industrials,2749602,US7766961061,New York Stock Exchange Inc.
F,FORD MOTOR CO,Equity,0.12,9.41,1267141,11923796.81,11923796.81,Consumer Discretionary,2615468,US3453708600,New York Stock Exchange Inc.
ETN,EATON PLC,Equity,0.12,87.3,136238,11893577.4,11893577.4,Industrials,B8KQN82,IE00B8KQN827,New York Stock Exchange Inc.
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Equity,0.12,64.84,182928,11861051.52,11861051.52,Information Technology,2257019,US1924461023,NASDAQ
HUM,HUMANA INC,Equity,0.12,268.38,43748,11741088.24,11741088.24,Health Care,2445063,US4448591028,New York Stock Exchange Inc.
PRU,PRUDENTIAL FINANCIAL INC,Equity,0.12,88.22,130820,11540940.4,11540940.4,Financials,2819118,US7443201022,New York Stock Exchange Inc.
WELL,WELLTOWER INC,Equity,0.12,87.45,131654,11513142.3,11513142.3,Real Estate,BYVYHH4,US95040Q1040,New York Stock Exchange Inc.
ALL,ALLSTATE CORP,Equity,0.12,106.58,108010,11511705.8,11511705.8,Financials,2019952,US0200021014,New York Stock Exchange Inc.
MCO,MOODYS CORP,Equity,0.12,212.98,53408,11374835.84,11374835.84,Financials,2252058,US6153691059,New York Stock Exchange Inc.
DOW,DOW INC,Equity,0.12,46.97,241565,11346308.05,11346308.05,Materials,BHXCF84,US2605571031,New York Stock Exchange Inc.
LRCX,LAM RESEARCH CORP,Equity,0.12,234.87,48277,11338818.99,11338818.99,Information Technology,2502247,US5128071082,NASDAQ
MPC,MARATHON PETROLEUM CORP,Equity,0.12,53.19,211780,11264578.2,11264578.2,Energy,B3K3L40,US56585A1025,New York Stock Exchange Inc.
USD,USD CASH,Cash,0.12,100,11257716,11257715.5,11257715.5,Cash and/or Derivatives,-,-,-
VLO,VALERO ENERGY CORP,Equity,0.12,83.7,134345,11244676.5,11244676.5,Energy,2041364,US91913Y1001,New York Stock Exchange Inc.
YUM,YUM BRANDS INC,Equity,0.12,113.27,98907,11203195.89,11203195.89,Consumer Discretionary,2098876,US9884981013,New York Stock Exchange Inc.
HCA,HCA HEALTHCARE INC,Equity,0.12,128.69,86874,11179815.06,11179815.06,Health Care,B4MGBG6,US40412C1018,New York Stock Exchange Inc.
DAL,DELTA AIR LINES INC,Equity,0.11,59.44,187917,11169786.48,11169786.48,Industrials,B1W9D46,US2473617023,New York Stock Exchange Inc.
TSLA,TESLA INC,Equity,0.11,245.87,45331,11145532.97,11145532.97,Consumer Discretionary,B616C79,US88160R1014,NASDAQ
ADSK,AUTODESK INC,Equity,0.11,155.69,71548,11139308.12,11139308.12,Information Technology,2065159,US0527691069,NASDAQ
EBAY,EBAY INC,Equity,0.11,40.29,266051,10719194.79,10719194.79,Consumer Discretionary,2293819,US2786421030,NASDAQ
TWTR,TWITTER INC,Equity,0.11,43.2,242705,10484856,10484856,Communication,BFLR866,US90184L1026,New York Stock Exchange Inc.
XEL,XCEL ENERGY INC,Equity,0.11,63.07,165930,10465205.1,10465205.1,Utilities,2614807,US98389B1008,NASDAQ
GIS,GENERAL MILLS INC,Equity,0.11,54.09,193217,10451107.53,10451107.53,Consumer Staples,2367026,US3703341046,New York Stock Exchange Inc.
STZ,CONSTELLATION BRANDS INC CLASS A,Equity,0.11,203.97,51104,10423682.88,10423682.88,Consumer Staples,2170473,US21036P1084,New York Stock Exchange Inc.
NEM,NEWMONT GOLDCORP CORP,Equity,0.1,38.66,263740,10196188.4,10196188.4,Materials,2636607,US6516391066,New York Stock Exchange Inc.
EQR,EQUITY RESIDENTIAL REIT,Equity,0.1,85.36,117887,10062834.32,10062834.32,Real Estate,2319157,US29476L1070,New York Stock Exchange Inc.
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Equity,0.1,61.45,162902,10010327.9,10010327.9,Utilities,2707677,US7445731067,New York Stock Exchange Inc.
